"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","18","18","No"
"0xec080dbee8f60c8e6d7c3f52e10832718d2b8d5a","5","5","No"
"0x087f2606ac8c88471ab9b011a5338c1be0f6f650","4","4","No"
"0xda3863583c9fcd8a5d3506d91aaf33157124d1d1","3","6","No"
"0xa553da0483f7a84320250abd59f37fe3672fa994","3","3","No"
"0x5dfa160e0f96ce631d28649d02bb7738d69fe761","3","3","No"
"0xdf4abd11d93cba45f8be55e3a41c1c18c6f8e9c1","3","3","No"
"0x7bcba9296df0a11afac47881e9c08b40371ba008","3","3","No"
"0xbdd954ebda44b38cdf3549c6120d4a022b561703","3","3","No"
"0xa218d6a3ad14cfbfc96017d5d7bceee1484bd6a5","3","3","No"
"0xc8f7643165302508e669a64d39d767f851b477d0","3","3","No"
"0xdb1bb9262897f66a338efef6924f2d0d44680af8","3","3","No"
"0x8b5814c0258e60bc849a483df2bc54c6dd1356d0","3","3","No"
"0xbf0f18033950ef50570db1cfba0ab2eb49d3b889","3","3","No"
"0x5e419de1db2279ad03e5d1f32494c6e6afe9b940","3","3","No"
"0xdd555c8d41f47237bd934298e1f2acc0095cc569","3","3","No"
"0xf96f8a3357576a2aa69e3ff55e1284d492767df6","3","3","No"
"0xecf14386bf1f271aecb5407e777d41e8a16933b7","3","3","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","3","3","No"
"0x10585c1e61830349bf1a8a0a75945f627f9d03e2","3","3","No"
"0x5fd7783c07a8173ec7f74c681687d960b03f1f4e","3","3","No"
"0x53ae2b3505b8ea5469cca95f8c38906bb7122667","3","3","No"
"0x89a27fde1243d15c2809f5ab3d1f0aa4175bb0d1","3","3","No"
"0x26c46e6f7b37e3eea85b6edf0e95583d0bb292ad","3","3","No"
"0x8c183fa11c17f104dd14ae6bf555de7921a34636","2","2","No"
"0xfa3d302049da8c48f7fc06f4874db34af7af384c","2","2","No"
"0xa6b0ada74ada37f4151e548c79099816af065636","2","2","No"
"0xd6b954f59f0ebb252edc7796c64ba167a1e2efab","2","2","No"
"0x62f92494bd7131243bc44109182237f0b00225ee","2","2","No"
"0x42b576bfe9926537cec4a83f141a9204a3f929a0","1","3","No"
"0x0e9bc9ecdb714ebec170aec518ac75a57ab032e6","1","3","No"
"0xebd93a2611b0a35f722e79a4bf7f7f000c514a4d","1","3","No"
"0xa9b301e04f3fb99484e7bffdc3e4fa2b2cd75a7a","1","3","No"
"0x1821bd18cbdd267ce4e389f893ddfe7beb333ab6","1","1","No"
"0x1fdde9a4303461af947dd6f6ed5d6f3f6578ef97","1","1","No"
"0xdfc772212ed7acb353842936cb2ab7a48aad8a8a","1","1","No"
"0xd8162ce80623a08c83a89f286de2cf9647f4aa43","1","1","No"
"0x51fe29bd98286b4aca36bc5bcfc9f11ef4e24a8e","1","1","No"
"0x6054d61eb4c4153b7f5bfc31cb0f20bc85777e7d","1","1","No"
"0xd668c76977e2e62c7ca28ca016faa1e0226f1926","1","1","No"
"0xe51b692ee9671e7ea69022d1c70bdcf16fff07c5","1","1","No"
